City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Katsuura,JP,2021-03-29 01:31:34,35.1333,140.3,64.99,94,75,3.44
68,Casian,PH,2021-03-29 01:35:11,11.035,119.7136,82.44,72,88,8.79
69,Atuona,PF,2021-03-29 01:34:06,-9.8,-139.0333,80.96,75,71,15.77
70,Tazovskiy,RU,2021-03-29 01:35:11,67.4667,78.7,-13.88,98,33,8.66
71,Hualmay,PE,2021-03-29 01:35:12,-11.0964,-77.6139,69.76,82,73,6.62
72,Saskylakh,RU,2021-03-29 01:34:34,71.9167,114.0833,2.12,94,100,5.21
73,Martin,US,2021-03-29 01:32:08,27.0837,-80.4164,80.01,73,40,5.75
74,Abha,SA,2021-03-29 01:35:12,18.2164,42.5053,59.0,54,2,5.75
75,Vila Franca Do Campo,PT,2021-03-29 01:35:12,37.7167,-25.4333,59.0,82,75,10.36
76,Albany,US,2021-03-29 01:30:05,42.6001,-73.9662,52.0,73,100,12.19
77,Chuy,UY,2021-03-29 01:35:13,-33.6971,-53.4616,62.31,93,2,5.21
78,Nishiwaki,JP,2021-03-29 01:35:13,34.9833,134.9667,62.6,77,75,10.36
79,Ossora,RU,2021-03-29 01:24:39,59.2353,163.0719,17.73,63,36,3.4
80,Jardim De Piranhas,BR,2021-03-29 01:35:13,-6.3786,-37.3519,75.65,88,99,4.92
81,Victoria,HK,2021-03-29 01:34:28,22.2855,114.1577,79.0,86,21,1.01
82,Tual,ID,2021-03-29 01:35:14,-5.6667,132.75,78.17,90,100,8.08
83,Inhambane,MZ,2021-03-29 01:25:44,-23.865,35.3833,72.07,78,7,13.18
84,Biloela,AU,2021-03-29 01:22:32,-24.4167,150.5,83.59,39,100,3.38
85,Neiafu,TO,2021-03-29 01:35:14,-18.65,-173.9833,84.2,74,20,12.66
86,Huron,US,2021-03-29 01:35:14,41.1501,-82.5499,37.99,83,100,7.0
87,Vaini,TO,2021-03-29 01:35:15,-21.2,-175.2,84.2,79,20,11.5
88,Moron,AR,2021-03-29 01:35:15,-34.6534,-58.6198,70.0,100,40,2.3
89,Bardiyah,LY,2021-03-29 01:35:15,31.7561,25.0865,55.36,66,4,9.33
90,Matara,LK,2021-03-29 01:35:16,5.9485,80.5353,77.36,78,30,3.91
91,Busselton,AU,2021-03-29 01:33:02,-33.65,115.3333,79.66,32,49,2.75
92,Oussouye,SN,2021-03-29 01:35:16,12.485,-16.5469,73.4,88,0,11.5
93,Ponta Do Sol,PT,2021-03-29 01:34:45,32.6667,-17.1,64.4,68,20,11.5
94,Gumdag,TM,2021-03-29 01:35:16,39.2061,54.5906,42.6,75,0,3.38
95,Dunedin,NZ,2021-03-29 01:33:58,-45.8742,170.5036,64.0,71,17,14.0
96,Port Lincoln,AU,2021-03-29 01:35:17,-34.7333,135.8667,68.32,65,4,9.66
97,Sika,GM,2021-03-29 01:35:17,13.3546,-16.345,68.0,77,0,10.36
98,San Rafael,AR,2021-03-29 01:32:13,-34.6177,-68.3301,62.65,40,0,6.62
99,San Marcos,US,2021-03-29 01:35:12,33.1434,-117.1661,73.99,43,1,3.44
100,Quatre Cocos,MU,2021-03-29 01:27:52,-20.2078,57.7625,75.99,88,20,5.75
101,Ekhabi,RU,2021-03-29 01:35:17,53.5102,142.9671,30.94,90,100,12.84
102,Bambous Virieux,MU,2021-03-29 01:34:52,-20.3428,57.7575,75.99,88,20,5.75
103,Severo-Kurilsk,RU,2021-03-29 01:25:34,50.6789,156.125,30.97,72,2,6.35
104,Palmer,US,2021-03-29 01:22:36,42.1584,-72.3287,53.01,100,90,8.05
105,Kodiak,US,2021-03-29 01:34:36,57.79,-152.4072,44.6,57,1,11.5
106,Santana,BR,2021-03-29 01:35:18,-0.0583,-51.1817,82.4,100,75,3.44
107,Clyde River,CA,2021-03-29 01:25:50,70.4692,-68.5914,-5.8,84,90,3.44
108,Nikolskoye,RU,2021-03-29 01:34:32,59.7035,30.7861,39.2,87,0,4.47
109,Saldanha,ZA,2021-03-29 01:35:19,-33.0117,17.9442,64.4,59,100,3.44
110,Wakkanai,JP,2021-03-29 01:35:19,45.4094,141.6739,39.2,100,75,2.3
111,Mwaro,BI,2021-03-29 01:35:19,-3.5,29.6667,57.09,92,100,0.74
112,Meulaboh,ID,2021-03-29 01:30:38,4.1363,96.1285,79.79,79,94,5.7
113,La Asuncion,VE,2021-03-29 01:32:04,11.0333,-63.8628,76.35,86,9,14.18
114,College,US,2021-03-29 01:35:19,64.8569,-147.8028,19.99,42,90,5.75
115,Bongandanga,CD,2021-03-29 01:35:20,1.5,21.05,72.73,71,6,1.05
116,Mahebourg,MU,2021-03-29 01:34:24,-20.4081,57.7,73.4,88,20,5.75
117,Flin Flon,CA,2021-03-29 01:30:12,54.7682,-101.865,29.16,92,100,10.11
118,Copiapo,CL,2021-03-29 01:35:20,-27.3667,-70.3333,59.0,77,90,9.22
119,Saint George,US,2021-03-29 01:31:01,37.1041,-113.5841,73.99,17,1,9.22
120,Kinlochleven,GB,2021-03-29 01:35:21,56.7115,-4.9661,51.01,97,100,4.0
121,Nyaunglebin,MM,2021-03-29 01:35:21,17.95,96.7333,87.49,46,6,7.83
122,Port Elizabeth,ZA,2021-03-29 01:35:21,-33.918,25.5701,64.4,77,0,17.27
123,Gigmoto,PH,2021-03-29 01:35:21,13.7796,124.39,83.5,73,100,8.21
124,Vao,NC,2021-03-29 01:25:32,-22.6667,167.4833,77.7,80,18,13.09
125,Three Hills,CA,2021-03-29 01:35:22,51.7001,-113.2686,51.8,32,100,20.71
126,Rio Gallegos,AR,2021-03-29 01:29:42,-51.6226,-69.2181,48.2,61,0,5.75
127,Piacabucu,BR,2021-03-29 01:30:28,-10.4056,-36.4344,77.76,83,87,7.63
128,Mackay,AU,2021-03-29 01:32:55,-21.15,149.2,86.0,58,40,14.97
129,Comodoro Rivadavia,AR,2021-03-29 01:29:49,-45.8667,-67.5,55.4,82,0,3.44
130,Cabo San Lucas,MX,2021-03-29 01:33:48,22.8909,-109.9124,73.4,40,75,11.5
131,Saint-Philippe,RE,2021-03-29 01:34:39,-21.3585,55.7679,77.0,73,0,8.05
132,Barrow,US,2021-03-29 01:34:30,71.2906,-156.7887,-11.2,64,1,16.11
133,Bar Harbor,US,2021-03-29 01:35:23,44.3876,-68.2039,45.0,87,90,3.44
134,Hasaki,JP,2021-03-29 01:35:23,35.7333,140.8333,66.0,88,75,3.44
135,Kavaratti,IN,2021-03-29 01:35:23,10.5669,72.642,83.3,71,100,3.31
136,Georgetown,MY,2021-03-29 01:35:24,5.4112,100.3354,82.4,89,20,3.44
137,Mar Del Plata,AR,2021-03-29 01:35:24,-38.0023,-57.5575,64.99,88,20,8.05
138,San Patricio,US,2021-03-29 01:35:24,28.017,-97.5169,60.8,63,40,5.75
139,Tuktoyaktuk,CA,2021-03-29 01:34:24,69.4541,-133.0374,-13.0,84,40,9.22
140,Portland,US,2021-03-29 01:22:52,45.5234,-122.6762,45.0,76,75,18.41
141,Norman Wells,CA,2021-03-29 01:35:25,65.282,-126.8329,-0.4,50,40,18.41
142,Spencer,US,2021-03-29 01:35:25,43.1414,-95.1444,44.6,57,1,10.36
143,Bethel,US,2021-03-29 01:34:39,41.3712,-73.414,55.0,91,100,5.99
144,Riyadh,SA,2021-03-29 01:35:25,24.6877,46.7219,60.8,23,0,5.75
145,Cidreira,BR,2021-03-29 01:35:26,-30.1811,-50.2056,71.56,85,3,5.26
146,Bubaque,GW,2021-03-29 01:35:26,11.2833,-15.8333,75.52,73,0,13.18
147,Talnakh,RU,2021-03-29 01:34:38,69.4865,88.3972,-8.81,98,97,6.42
148,Fengzhen,CN,2021-03-29 01:35:26,40.4394,113.1536,39.09,20,100,1.1
149,Komsomolskiy,UZ,2021-03-29 01:27:54,40.4272,71.7189,48.2,57,100,34.52
150,Gangawati,IN,2021-03-29 01:33:04,15.4333,76.5333,80.73,67,99,6.6
151,Jeremie,HT,2021-03-29 01:35:27,18.65,-74.1167,76.44,81,4,3.02
152,Fallon,US,2021-03-29 01:35:27,39.4735,-118.7774,73.4,9,1,12.66
153,Pampa,US,2021-03-29 01:35:27,35.5362,-100.9599,60.8,36,1,11.5
154,Mayo,US,2021-03-29 01:31:41,38.8876,-76.5119,60.8,55,90,12.66
155,Khatanga,RU,2021-03-29 01:34:23,71.9667,102.5,-0.56,94,99,10.47
156,Tucupita,VE,2021-03-29 01:35:28,9.0622,-62.051,71.85,99,34,3.24
157,Bangkalan,ID,2021-03-29 01:35:28,-7.0455,112.7351,82.4,83,20,3.44
158,Zavodouspenskoye,RU,2021-03-29 01:35:28,56.8626,65.0155,24.8,100,20,8.95
159,San Cristobal,VE,2021-03-29 01:21:14,7.7669,-72.225,77.0,83,40,2.3
160,Fairbanks,US,2021-03-29 01:31:51,64.8378,-147.7164,21.99,42,20,5.75
161,French Harbor,HN,2021-03-29 01:35:29,16.35,-86.4333,80.01,89,75,20.71
162,Lokosovo,RU,2021-03-29 01:35:29,61.1333,74.8167,0.45,97,58,6.51
163,Santiago Del Estero,AR,2021-03-29 01:35:29,-27.7951,-64.2615,64.89,57,0,6.69
164,Tarko-Sale,RU,2021-03-29 01:35:30,64.9225,77.785,-4.72,98,76,10.87
165,Stornoway,GB,2021-03-29 01:35:30,58.2093,-6.3865,48.99,93,75,18.41
166,Ouadda,CF,2021-03-29 01:35:30,8.0777,22.4007,74.14,20,4,8.63
167,Port Alfred,ZA,2021-03-29 01:34:23,-33.5906,26.891,65.14,77,100,19.95
168,Vostok,RU,2021-03-29 01:27:07,46.4856,135.8833,35.96,95,100,2.86
169,Ekangala,ZA,2021-03-29 01:35:31,-25.6962,28.7492,59.0,88,6,4.61
170,San Quintin,MX,2021-03-29 01:35:31,30.4833,-115.95,63.5,53,8,9.86
