City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Santa Maria,BR,-29.6842,-53.8069,24.0,73,40,3.09,scattered clouds
80,Port Elizabeth,ZA,-33.918,25.5701,20.0,68,0,7.72,clear sky
81,Urdoma,RU,61.7533,48.5442,0.3,92,100,0.88,light snow
82,Coahuayana,MX,18.7333,-103.6833,27.0,44,20,0.98,few clouds
83,Kasempa,ZM,-13.4584,25.8338,24.18,61,6,2.15,clear sky
84,Saint-Philippe,RE,-21.3585,55.7679,28.0,78,75,1.03,light rain
85,Cape Town,ZA,-33.9258,18.4232,26.0,27,0,4.12,clear sky
86,Barrow,US,71.2906,-156.7887,-32.0,75,20,2.06,mist
87,Kamaishi,JP,39.2667,141.8833,9.95,90,45,3.43,scattered clouds
88,Lae,PG,-6.7221,146.9847,24.67,93,100,2.74,overcast clouds
89,Hadishahr,AZ,38.8431,45.6635,15.0,29,75,3.09,broken clouds
90,Nishihara,JP,26.1842,127.7558,23.0,94,75,1.54,broken clouds
91,Tiksi,RU,71.6872,128.8694,-24.81,100,100,2.91,overcast clouds
92,Bathsheba,BB,13.2167,-59.5167,29.0,54,40,11.32,scattered clouds
93,Salzwedel,DE,52.85,11.15,12.22,40,31,1.79,scattered clouds
94,Atuona,PF,-9.8,-139.0333,26.95,75,98,6.99,overcast clouds
95,Manono,CD,-7.3,27.4167,27.22,71,88,0.68,overcast clouds
96,Bosaso,SO,11.2842,49.1816,28.0,78,0,3.09,clear sky
97,Samarinda,ID,-0.5,117.15,23.98,97,97,0.37,overcast clouds
98,Svetlogorsk,BY,52.6333,29.7333,6.76,61,100,2.97,overcast clouds
99,Bakaly,RU,55.1789,53.8028,1.8,92,100,3.61,overcast clouds
100,Caucasia,CO,7.9865,-75.1935,24.68,90,100,2.77,overcast clouds
101,Kilindoni,TZ,-7.9139,39.6668,26.64,79,100,6.92,overcast clouds
102,Baiquan,CN,47.5833,126.0833,0.61,28,0,1.36,clear sky
103,Carnarvon,AU,-24.8667,113.6333,27.0,74,40,8.75,scattered clouds
104,Bhuban,IN,20.8833,85.8333,25.19,75,53,2.46,broken clouds
105,Wajir,KE,1.7471,40.0573,33.56,39,98,4.14,light rain
106,Laguna,US,38.421,-121.4238,10.0,76,1,4.63,clear sky
107,Avarua,CK,-21.2078,-159.775,26.0,83,40,4.12,scattered clouds
108,Narsaq,GL,60.9167,-46.05,4.0,81,75,1.54,broken clouds
109,Evensk,RU,61.95,159.2333,-19.16,77,1,4.22,clear sky
110,East London,ZA,-33.0153,27.9116,20.0,64,0,6.17,clear sky
111,Necochea,AR,-38.5473,-58.7368,25.0,54,59,2.24,broken clouds
112,Ndele,CF,8.4109,20.6473,37.85,17,89,2.15,overcast clouds
113,Banyo,CM,6.75,11.8167,33.17,13,100,4.18,overcast clouds
114,Sibolga,ID,1.7427,98.7792,24.98,88,100,2.24,moderate rain
115,San Lawrenz,MT,36.0553,14.204,21.0,64,0,5.14,clear sky
116,Iskateley,RU,67.6803,53.1512,-9.72,90,99,1.02,overcast clouds
117,Lebu,CL,-37.6167,-73.65,15.63,69,13,5.28,few clouds
118,Severo-Kurilsk,RU,50.6789,156.125,0.86,89,100,8.55,overcast clouds
119,Haines Junction,CA,60.7522,-137.5108,-19.0,84,100,0.51,overcast clouds
120,Norman Wells,CA,65.282,-126.8329,-23.0,77,75,1.54,broken clouds
121,Santa Cruz Del Sur,CU,20.7147,-77.9956,25.63,57,59,9.94,broken clouds
